epochs,encoder_depth,lr,batch_size,l2_penalization
100,3,1e-05,2,1e-05
train_losses,test_losses,train_recall,train_precision,test_recall,test_precision
0.594877666462388,0.44795795387410103,0.5149293541908264,0.5479195713996887,0.6124369502067566,0.7037269473075867
0.4318682339964658,0.41340984678860254,0.643098771572113,0.7222996950149536,0.679282009601593,0.7155712246894836
0.4042727387020201,0.39343312868835234,0.6880214214324951,0.7325822710990906,0.7186547517776489,0.7235904335975647
0.390707799035993,0.37744348984977877,0.7065072059631348,0.7399884462356567,0.717708945274353,0.7352104783058167
0.3762395279258886,0.3704010520579544,0.7179408073425293,0.747068464756012,0.7447362542152405,0.7301084995269775
0.3685065297196688,0.36158077257639126,0.727272629737854,0.7532908916473389,0.7327918410301208,0.7450017333030701
0.3615829685856625,0.3663789400870496,0.732703685760498,0.7564253807067871,0.7344543933868408,0.747911810874939
0.3549806832368118,0.3535710684162505,0.7372124195098877,0.7605452537536621,0.7381572127342224,0.7491621375083923
0.34981530475055844,0.3510162268785086,0.7427828311920166,0.7623240351676941,0.7527047395706177,0.7473419308662415
0.34416675384502654,0.35539508667767894,0.7458822727203369,0.7653259634971619,0.7374840974807739,0.7546165585517883
0.340280906003904,0.34165882825164506,0.7483557462692261,0.7662636637687683,0.7416192889213562,0.7571578025817871
0.3373215828378484,0.34910124281408095,0.7517127990722656,0.7691259384155273,0.764874279499054,0.7383877038955688
0.3315246281773513,0.34074048769283805,0.7545396685600281,0.7710971832275391,0.7622654438018799,0.7501345872879028
0.3304646098432598,0.33697263397117877,0.7577086091041565,0.7723867893218994,0.7633793354034424,0.7479586005210876
0.32691096392160196,0.3343539012609221,0.7567134499549866,0.7734282612800598,0.7752707004547119,0.7472342848777771
0.32127773513506763,0.33330434332238446,0.761863112449646,0.7767637372016907,0.7688194513320923,0.7498396039009094
0.32042499108714345,0.33403345085152075,0.7606144547462463,0.7771624326705933,0.766063928604126,0.7491225600242615
0.3180677400077193,0.33449878024452545,0.7614907026290894,0.7786304354667664,0.7798049449920654,0.7484058141708374
0.3136297370891393,0.330912899001376,0.7658229470252991,0.7795895338058472,0.7594084143638611,0.7632050514221191
0.3125846596614862,0.3286145464616253,0.7676647305488586,0.7819415926933289,0.7459169030189514,0.7677479386329651
0.30820949285058924,0.32658128917270096,0.7667698860168457,0.7802769541740417,0.7389270663261414,0.771395206451416
0.30659300244240606,0.32363748395855124,0.7683075070381165,0.7831427454948425,0.7698531746864319,0.7575554847717285
0.3023324149041813,0.33045439943935434,0.7740341424942017,0.7862558364868164,0.7712509632110596,0.7602463364601135
0.30087603809445856,0.32219674776420526,0.7714280486106873,0.7864608764648438,0.7633674144744873,0.7599855661392212
0.2977358540462226,0.3232519907599434,0.7728228569030762,0.7873266339302063,0.7696324586868286,0.760129451751709
0.2945434855166641,0.3329224069173454,0.7728819251060486,0.788483738899231,0.7470672726631165,0.7718902230262756
0.29393545538848126,0.32805306848851923,0.7779380679130554,0.7928786277770996,0.7534398436546326,0.7702727913856506
0.2894835464140696,0.3256943714375614,0.7770711779594421,0.7928239107131958,0.760797381401062,0.7690988779067993
0.28841968300523435,0.3212557362511437,0.7778005599975586,0.7944038510322571,0.775823712348938,0.7595027685165405
0.2843934570000356,0.32097007651278314,0.7779822945594788,0.7944485545158386,0.7539647221565247,0.7643018364906311
0.28227658917385334,0.3231071999943848,0.7793423533439636,0.7973436713218689,0.773168683052063,0.7611550688743591
0.2817555950771102,0.3178332131223898,0.7809643149375916,0.7981964349746704,0.7608048915863037,0.7611424922943115
0.2772428400371597,0.33843489625352496,0.7849277853965759,0.8015924096107483,0.759890079498291,0.7679550647735596
0.2773752098253531,0.33147140521001306,0.7814347743988037,0.7992849946022034,0.7506453990936279,0.7732478380203247
0.2765067469464167,0.3217691649544112,0.7837459444999695,0.8009814620018005,0.7794522643089294,0.758827805519104
0.2739740202852922,0.31930092485714046,0.7878493070602417,0.8051848411560059,0.7646597623825073,0.7679138779640198
0.2696610752628668,0.3200710528985934,0.786293089389801,0.8051204085350037,0.7567127346992493,0.7746012806892395
0.2689736116472582,0.31904791928299353,0.7879301905632019,0.8069726228713989,0.7394441962242126,0.7807250022888184
0.26908164269752805,0.31948554377131005,0.7898455262184143,0.8078736662864685,0.7781127095222473,0.7619019150733948
0.2674260544900542,0.3180074823610749,0.7891740202903748,0.809470534324646,0.767874002456665,0.7683624029159546
0.2646663010470774,0.31680067216462277,0.7901330590248108,0.8087364435195923,0.7664907574653625,0.7682256102561951
0.26265907384283316,0.31812977728083836,0.7916939854621887,0.8127187490463257,0.7688668370246887,0.7693974375724792
0.2586072634545278,0.3291769887366933,0.7951148748397827,0.8129333853721619,0.736781656742096,0.7733700275421143
0.26007716380846424,0.31955881124851127,0.793906569480896,0.8135572671890259,0.7681756019592285,0.7693467140197754
