epochs,encoder_depth,lr,batch_size,l2_penalization
100,4,1e-05,2,0.001
train_losses,test_losses,train_recall,train_precision,test_recall,test_precision
0.7348064831437519,0.5657153508402932,0.5741483569145203,0.5757765173912048,0.6632022857666016,0.6771861910820007
0.507519150804318,0.46967064431855376,0.6864771842956543,0.7173239588737488,0.7101191878318787,0.7189629673957825
0.4358191148431291,0.41583582428349575,0.7209092378616333,0.7442904710769653,0.7260457277297974,0.7362077832221985
0.3879988277798707,0.3861281277323273,0.7389670610427856,0.7633082866668701,0.7371726632118225,0.7436428666114807
0.34804446853467547,0.37922785048123814,0.7552779912948608,0.7825216054916382,0.7329960465431213,0.7554075717926025
0.3196843171828644,0.35809093831815353,0.7689277529716492,0.7941307425498962,0.7420144081115723,0.7593735456466675
0.292620793687352,0.3753587327320391,0.7832849025726318,0.8065508008003235,0.7502162456512451,0.7565559148788452
0.27046279994532924,0.36562558533754985,0.7957289814949036,0.8186215162277222,0.7580443620681763,0.7564159631729126
0.2482691509148623,0.3552035822887236,0.8059890270233154,0.8289468884468079,0.7744351625442505,0.7549826502799988
0.23365639554508982,0.3540619892710951,0.8143726587295532,0.835883378982544,0.7646207809448242,0.7635147571563721
0.22203315394040246,0.36067490025200477,0.8228390216827393,0.8414507508277893,0.7527404427528381,0.7694481015205383
0.2123616348935644,0.3546627571045513,0.8302204608917236,0.8504735827445984,0.7784709930419922,0.7591326832771301
0.20137352692004343,0.36801830374858746,0.836483895778656,0.8548957705497742,0.7765035033226013,0.7614591717720032
0.1895941377375357,0.376043306283233,0.8436769843101501,0.8616507649421692,0.7684113383293152,0.7608816027641296
0.18676235116525894,0.3723485906359176,0.8499519228935242,0.8657656311988831,0.7791351675987244,0.7645107507705688
0.1776258903682757,0.3764807357465927,0.8553743362426758,0.8703418970108032,0.7757061123847961,0.76540607213974
0.1687790159086824,0.38460035696888056,0.8591405749320984,0.8747833371162415,0.772683322429657,0.7693097591400146
