epochs,encoder_depth,lr,batch_size,l2_penalization
30,4,1e-05,2,0.0
train_losses,test_losses,train_recall,train_precision,test_recall,test_precision
0.6596892210849112,0.5252983670496771,0.5690479874610901,0.5995635986328125,0.6362332105636597,0.7117561101913452
0.47299995560929536,0.4526353553994328,0.6930446624755859,0.7243109941482544,0.7174068093299866,0.7333730459213257
0.4093684280669679,0.4149173660375548,0.7372302412986755,0.7492572665214539,0.7375912666320801,0.7447282075881958
0.36732504705253066,0.3810935488089602,0.7563021779060364,0.7679086923599243,0.7434371113777161,0.7576112747192383
0.3320457292481027,0.36421447141584773,0.7703567147254944,0.7845376133918762,0.75698322057724,0.75853031873703
0.30881010870570724,0.35961600831637147,0.7839868664741516,0.7929317355155945,0.7687196135520935,0.7604946494102478
0.2844393520079679,0.34560274863813784,0.7960091829299927,0.801980197429657,0.773894727230072,0.7619578242301941
0.2602794711621017,0.3425847826961507,0.81004399061203,0.8163419961929321,0.774298906326294,0.7662169337272644
0.2417249088543331,0.34011698371552407,0.8164321780204773,0.820976734161377,0.7699793577194214,0.7706816792488098
0.22596633910947705,0.34399000140475045,0.8249958753585815,0.8307536840438843,0.7870025634765625,0.7645553350448608
0.21456398094980295,0.3500811636764952,0.8305183053016663,0.8340815901756287,0.7739222049713135,0.7707422971725464
0.20375523449127508,0.34448151303626967,0.8358023762702942,0.8398697972297668,0.7814809679985046,0.7706558108329773
0.19236323779189385,0.34717495096120854,0.8415610194206238,0.8463745713233948,0.7837929725646973,0.7696904540061951
0.18801836045368012,0.36258302265712133,0.8453921675682068,0.8504498600959778,0.7777531147003174,0.7748944163322449
0.17988052361949736,0.34678691180409693,0.8503709435462952,0.8546613454818726,0.7770969867706299,0.7755438089370728
0.17019188909493088,0.3928423181361129,0.8546018004417419,0.8601073622703552,0.780088484287262,0.7699361443519592
0.16480774347469568,0.3731886392710268,0.8591427803039551,0.864254891872406,0.7818438410758972,0.7768090963363647
