epochs,encoder_depth,lr,batch_size,l2_penalization
30,4,0.001,8,0.0
train_losses,test_losses,train_recall,train_precision,test_recall,test_precision
0.4190738931403938,0.4302341574934167,0.6402761340141296,0.7580252885818481,0.661949872970581,0.7290421724319458
0.3492850385976176,0.41385560850022546,0.7214964628219604,0.7678084969520569,0.7045986652374268,0.742641031742096
0.34246599457576765,0.40358032286167145,0.73337721824646,0.7729059457778931,0.7496099472045898,0.7173720002174377
0.32697868193929075,0.37993182262904207,0.7437800168991089,0.7815088033676147,0.7594972848892212,0.7370783686637878
0.31740701901363144,0.3515264996340577,0.748137891292572,0.7895583510398865,0.7508894801139832,0.7665318846702576
0.3167407555730208,0.34802987237631433,0.7505879402160645,0.7945402264595032,0.7219595909118652,0.7816917300224304
0.30680323783176167,0.3577862730328466,0.754940927028656,0.7973637580871582,0.7219623923301697,0.7772567868232727
0.30831224019540115,0.34055725075829196,0.7507870197296143,0.7978949546813965,0.7444982528686523,0.7735288143157959
0.2909969852854174,0.3245155860630559,0.7579424381256104,0.8066056966781616,0.7500284910202026,0.7851088047027588
0.29299999681030603,0.35281833670508694,0.7576905488967896,0.8055418133735657,0.7466893792152405,0.7555567622184753
0.2869258032094502,0.3290197888100651,0.7620505690574646,0.8092625737190247,0.7331247329711914,0.7908914089202881
0.27449432224140946,0.322436375832054,0.7652531862258911,0.8160570859909058,0.7619337439537048,0.7843330502510071
0.26885225042595084,0.3124918367871096,0.7738179564476013,0.8203823566436768,0.7637035846710205,0.7893450856208801
0.2600508335158757,0.32126669165953786,0.778549313545227,0.8273962736129761,0.7687895894050598,0.783149003982544
0.25412768355392396,0.320769644171839,0.784171462059021,0.8301712870597839,0.7826261520385742,0.7803001999855042
0.24318056807239005,0.3471979945898056,0.7890865206718445,0.833503782749176,0.7605138421058655,0.7785854339599609
0.2415542574533334,0.33124297017782506,0.7920112013816833,0.8357893824577332,0.7680474519729614,0.7748504281044006
0.24512075952498624,0.34698370524065597,0.7921603918075562,0.8317852020263672,0.7497987151145935,0.7934560179710388
